Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0402",143.464000,-102.654000,-90.000000,top
"C2","100nF","C_0402",141.178000,-102.654000,-90.000000,top
"C3","100nF","C_0402",158.750000,-100.584000,180.000000,top
"C4","22uF","C_0402",130.000000,-86.250000,-90.000000,top
"C5","100nF","C_0402",128.750000,-86.250000,-90.000000,top
"D1","Red","D_0603",164.947600,-81.026000,0.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",166.014400,-97.129600,90.000000,top
"J2","Conn_01x03","PinSocket_1x03_P2.54mm_Vertical",166.573200,-107.543600,0.000000,top
"R1","4.7kΩ","R_0402",129.486000,-97.790000,180.000000,top
"R2","10kΩ","R_0402",151.130000,-102.654000,90.000000,top
"R3","5.1kΩ","R_0402",160.020000,-93.726000,90.000000,top
"R4","4.7kΩ","R_0402",129.486000,-99.830000,180.000000,top
"R5","5.1kΩ","R_0402",160.020000,-98.806000,-90.000000,top
"R6","10kΩ","R_0402",133.604000,-102.654000,90.000000,top
"R7","4.7kΩ","R_0402",129.486000,-101.854000,180.000000,top
"R8","75Ω","R_0402",165.252400,-82.702400,0.000000,top
"R9","10kΩ","R_0402",129.478000,-95.758000,0.000000,top
"R10","4.7kΩ","R_0402",129.486000,-91.520000,0.000000,top
"R11","4.7kΩ","R_0402",129.478000,-93.726000,0.000000,top
"SW1","PREV","Cherry-MX-Low-Profile",106.426000,-116.332000,180.000000,top
"SW2","RESET","SW_Push_1P1T_NO_CK_KMR2",147.292000,-102.870000,0.000000,top
"SW3","STATE","Cherry-MX-Low-Profile",123.190000,-116.332000,180.000000,top
"SW4","BOOT","SW_Push_1P1T_NO_CK_KMR2",137.386000,-102.870000,0.000000,top
"SW5","NEXT","Cherry-MX-Low-Profile",139.954000,-116.332000,180.000000,top
"U1","USBLC6-2SC6","SOT-23-6",155.956000,-94.488000,180.000000,top
"U2","LD1117S33TR_SOT223","SOT-223-3_TabPin2",156.159200,-104.800400,180.000000,top
"U3","ESP32-C3-WROOM-02","ESP32-C3-WROOM-02",142.494000,-91.452000,0.000000,top
"U4","HS96L03W2C03","OLED-TH_L27.8-W27.2-P2.54_C9900033791",112.776000,-81.280000,0.000000,top
