"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R4,R11,R7,R10,R1";"R_0402";5;"4.7kΩ";;;
2;"SW1";"Cherry-MX-Low-Profile";1;"PREV";;;
3;"C3,C2,C1,C5";"C_0402";4;"100nF";;;
4;"SW5";"Cherry-MX-Low-Profile";1;"NEXT";;;
5;"SW3";"Cherry-MX-Low-Profile";1;"STATE";;;
6;"U1";"SOT-23-6";1;"USBLC6-2SC6";;;
7;"R2,R6,R9";"R_0402";3;"10kΩ";;;
8;"R5,R3";"R_0402";2;"5.1kΩ";;;
9;"R8";"R_0402";1;"75Ω";;;
10;"J1";"USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal";1;"USB_C_Receptacle_USB2.0_16P";;;
11;"J2";"PinSocket_1x03_P2.54mm_Vertical";1;"Conn_01x03";;;
12;"SW2";"SW_Push_1P1T_NO_CK_KMR2";1;"RESET";;;
13;"U2";"SOT-223-3_TabPin2";1;"LD1117S33TR_SOT223";;;
14;"C4";"C_0402";1;"22uF";;;
15;"SW4";"SW_Push_1P1T_NO_CK_KMR2";1;"BOOT";;;
16;"D1";"D_0603";1;"Red";;;
17;"U4";"OLED-TH_L27.8-W27.2-P2.54_C9900033791";1;"HS96L03W2C03";;;
18;"U3";"ESP32-C3-WROOM-02";1;"ESP32-C3-WROOM-02";;;
19;"TP3,TP2,TP1";"TestPoint_Pad_D1.5mm";3;"TestPoint";;;
